GENEID,KD_1_1,KD_1_2,KD_2_1,KD_2_2,KD_2_3
0610030E20Rik,0.101954184,-0.285784562,0.214793595,0.147430056,0.265572592
0610040J01Rik,0.143471696,-0.316581352,-0.102559813,-0.214835904,-0.011302582
1110002E22Rik,-0.2650336,-0.675788435,-0.108975763,0.068535246,0.485578352
1110004F10Rik,0.088805317,-0.115921868,-0.167357166,-0.160607051,-0.192132652
1110032F04Rik,0.108329546,0.241763512,-0.005214146,0.12954533,-0.337022255
1110038F14Rik,-0.276388639,-0.038632386,-0.144255841,-0.242024969,-0.396782931
1110059E24Rik,-0.144986362,0.228667934,-0.239612612,-0.03100076,-0.175163338
1110059G10Rik,0.231594004,0.037538599,0.076803319,-0.043209469,0.276896119
1110065P20Rik,0.069183786,-0.018418334,-0.206074457,-0.177963688,-0.302470234
1500009L16Rik,0.110337661,0.09262242,-0.131122766,-0.124792194,-0.108895077
1500011B03Rik,0.008037205,0.090688438,-0.178594539,-0.045785796,-0.263537001
1600012H06Rik,0.098881159,0.331525711,0.120333143,-0.072078009,-0.029219419
1600014C10Rik,-0.035717979,0.102008411,0.058200066,0.002129835,-0.302449647
1700001K19Rik,0.134049815,0.197031726,0.059492951,0.037325424,-0.072684502
1700003E16Rik,-0.027058713,-0.191479776,-0.115162875,-0.066220194,-0.212415522
1700008O03Rik,-0.183163924,0.308404057,-0.131243399,-0.020548442,0.167073264
1700010I14Rik,0.117466899,-0.646706679,-0.071984844,-0.347760022,0.209025297
1700017B05Rik,-0.337086983,-0.112729543,-0.026312639,-0.085629255,-0.235829988
1700017N19Rik,-0.098892049,-0.137990763,0.26989378,-0.204250682,0.380213496
1700019D03Rik,0.181585221,-0.004100325,0.212274487,-0.026972744,0.011292899
1700022I11Rik,-0.172903011,0.119804146,-0.125148017,0.14934746,-0.290754414
1700025G04Rik,0.13147367,0.011275736,0.02336369,0.022921108,0.026844054
1700028K03Rik,-0.299582126,-0.007027718,-0.051281817,0.12429473,0.427703642
1700030J22Rik,-0.026175704,0.194493777,0.070010279,-0.00924524,0.173357235
1700030K09Rik,-0.128018436,0.016739316,-0.191890172,-0.111998854,-0.252743922
1700037C18Rik,-0.031297645,0.17422027,0.026856232,-0.004191518,0.006359538
1700051O22Rik,-0.052971395,0.026195092,-0.00087933,-0.113847904,-0.027992899
1700066M21Rik,0.110981169,0.036692454,0.029021495,0.094061452,0.020773349
1700088E04Rik,0.059385942,0.144927817,-0.053067929,-0.006694566,-0.038939329
1700093K21Rik,-0.204127558,-0.480916327,-0.069567197,-0.301951371,0.042631724
1700109H08Rik,0.04260191,-0.193675803,0.020832271,0.243259393,0.595305862
1700123O20Rik,-0.064862438,0.008673022,-0.212935469,-0.073394854,-0.377111266
1810009A15Rik,-0.0108269,0.070083986,-0.20760655,-0.173915361,-0.137118584
1810010H24Rik,0.404996222,-0.19196102,0.076302663,0.217470074,0.067961926
1810024B03Rik,-0.335075231,0.104270121,0.257088246,0.027094079,0.095863322
1810030O07Rik,-0.131361366,-0.105094781,-0.04135159,0.145033401,-0.131102554
1810037I17Rik,0.079228142,0.134364798,-0.004999755,-0.068461681,-0.206267772
1810049J17Rik,-0.154428937,0.053648582,-0.219662801,-0.195424877,-0.3397013
1810055G02Rik,-0.199601296,0.18115635,-0.128098737,-0.135497842,0.035827768
2010315B03Rik,-0.110918945,-0.105512023,0.114828929,0.018136241,0.314752525
2200002D01Rik,-0.32288717,-0.120269682,-0.408499669,-0.132413364,-0.482628263
2210016L21Rik,-0.009884199,0.356433663,0.097289634,0.075668984,-0.133568102
2210408I21Rik,0.214951979,0.045370827,0.236655936,0.209231604,0.089482394
2300009A05Rik,0.415600413,0.158274082,-0.062968411,0.185577354,0.096315706
2310009B15Rik,0.132639375,0.061475907,-0.098597302,0.018599105,-0.338321516
2310011J03Rik,-0.232209493,0.065551363,-0.235604053,-0.006608862,-0.399461556
2310022A10Rik,-0.110495562,-0.081220546,0.027367884,0.058215127,0.161781815
2310022B05Rik,-0.016419285,-0.314490204,-0.268147184,-0.150942792,-0.04136932
2310033P09Rik,-0.344438458,-0.165266226,-0.088077472,-0.226312601,0.022479784
2310039H08Rik,-0.191224289,0.355004765,-0.003755043,0.018275135,-0.175736793
2310057M21Rik,-0.018460253,0.126296833,0.052571981,0.068765235,0.198214396
2310061I04Rik,-0.30337119,-0.002737383,0.023181698,0.076072806,0.017291158
2410002F23Rik,-0.149273869,-0.084467707,-0.197261834,-0.184321407,-0.312145722
2410004B18Rik,-0.108347908,0.008738077,-0.116300578,-0.153197664,-0.231260511
2410004P03Rik,-0.039185555,-0.361977262,-0.234499293,-0.247834704,-0.039219159
2510002D24Rik,0.013903471,0.109620297,0.083409763,0.145053899,0.171721797
2510009E07Rik,0.206482767,-0.007523168,0.080338601,0.046140558,-0.137619689
2510039O18Rik,0.036918318,0.113352447,-0.276937326,-0.114612172,-0.116897648
2610008E11Rik,0.247574695,0.195046939,0.141448598,0.117861379,0.27931804
2610011E03Rik,-0.410581126,0.16626653,0.2648333,0.231331178,0.543520028
2610021A01Rik,0.309281926,0.025447562,0.148175499,0.135969731,0.16316531
2700029L08Rik,0.041484909,-0.419699898,0.090871454,0.248230687,0.428277428
2700049A03Rik,-0.286634487,-0.252192596,0.16062172,0.094719396,0.072265027
2700062C07Rik,0.01094201,-0.178034131,-0.14588067,-0.11801586,-0.127387779
2700078F05Rik,-0.143095202,-0.262472689,0.24917538,0.513039369,0.497938334
2700097O09Rik,-0.202975252,-0.308969002,0.034148218,-0.062133914,0.357646053
2810004N23Rik,-0.121827676,-0.005861339,-0.035931919,0.004660644,0.018647538
2810021J22Rik,0.196688982,0.025956446,0.148713791,0.027041074,0.181952642
2810428J06Rik,-0.164557155,-0.09009639,0.179297729,0.158975645,0.046952976
2810459M11Rik,-0.539268756,-0.141763016,-0.339834079,-0.290984715,-0.369726964
2900002M20Rik,0.170235669,-0.012191136,0.017075251,0.048390545,-0.153356912
2900022M07Rik,0.35100977,0.234837123,0.48602624,0.394643396,0.728972095
2900026A02Rik,0.048014089,0.093260104,0.068075188,0.42779819,0.215550029
2900027M19Rik,0.389802122,-0.022037076,0.376770808,0.508809792,0.739045842
2900064F13Rik,0.007919796,-0.029391855,0.170414857,0.044320834,0.293767724
2900064K03Rik,-0.289135361,-0.001539383,0.285228759,0.27058335,0.385068593
2900092N22Rik,0.193805752,-0.011405226,0.314667632,0.415602518,0.566822835
3110009E18Rik,-0.014104833,-0.061994913,-0.270285864,-0.150735451,0.145811349
3110040N11Rik,0.281303851,0.466480284,0.064704516,-0.021966759,-0.03728028
3110062G12Rik,-0.140979265,-0.040933056,0.149131688,0.154196432,0.768106821
3110080E11Rik,-0.010110867,-0.245091323,0.345758385,0.346393566,0.651734592
3110082I17Rik,-0.048838729,-0.066275674,-0.006230993,-0.288718951,0.079182949
3300002I08Rik,0.057444841,-0.086306071,0.030895392,0.247161951,0.062477062
4632418H02Rik,-0.042241379,-0.241670573,0.150101985,-0.059632662,0.476729172
4633401B06Rik,-0.13915559,-0.062483163,0.108918144,0.317880864,0.518411405
4732416N19Rik,-0.595273188,-0.204177846,-0.374562773,-0.075430356,-0.154801448
4833412C15Rik,0.002164866,-0.072451626,0.223051204,0.148517621,-0.00899915
4833412K13Rik,0.161482568,-0.45151655,0.079808323,0.048568856,-0.116639534
4833420G17Rik,0.046103693,0.113618989,-0.011357839,0.148327468,0.079071884
4833439L19Rik,-0.012528766,0.022219721,-0.109620024,-0.010009524,-0.098544443
4921504E06Rik,-0.150775615,-0.623677451,0.092532882,-0.221374567,0.097015138
4921524J17Rik,0.41723614,0.255758621,0.230239049,0.077173925,-0.00777691
4930413G21Rik,0.166354446,0.119711172,0.287717478,-0.201774389,0.021698221
4930435N07Rik,-0.38227509,-0.159808641,0.033523883,0.147293278,0.1696872
4930442H23Rik,-0.046971658,0.021994835,0.011271381,-0.064854229,-0.166435895
4930447C04Rik,-0.178062129,-0.104094161,0.362946031,-0.172360857,0.412891408
4930453N24Rik,0.262607957,0.027993291,0.101645233,-0.009129689,-0.034371027
4930455H04Rik,-0.250306809,-0.433143307,0.072386452,-0.067090637,-0.065347632
4930466K18Rik,0.398604848,0.203253961,0.25792237,0.249051716,0.030099902
4930480K02Rik,0.028223124,-0.012558646,0.050347002,0.180833797,0.05581313
4930503L19Rik,0.070024602,-0.162018653,0.181459261,0.100598473,0.326270284
4930517G19Rik,-0.128449779,0.189928021,0.081787447,0.24529472,-0.036569228
4930518I15Rik,-0.161673603,0.154336184,0.090463624,0.134137513,0.191327845
4930522L14Rik,-0.224925759,0.079583299,-0.204360114,0.084976277,-0.379309496
4930523C07Rik,-0.0974243,-0.075153173,0.022856523,-0.199292571,0.142514619
4930528J11Rik,0.028578217,-0.22726838,-0.034525436,0.308259749,0.234426573
4930556J24Rik,-0.090429608,0.208561261,0.029574783,-0.133920687,-0.091130655
4930562C15Rik,-0.139943415,-0.148211189,-0.055365318,0.058017671,-0.24599798
4930563E22Rik,-0.106351156,-0.56221573,-0.246396313,0.096914054,0.111140314
4930566N20Rik,-0.365572983,-0.146479013,0.110625218,0.215427596,0.485070041
4930590J08Rik,0.075041944,0.028287293,-0.038582219,-0.039614443,0.437400126
4930599N24Rik,0.178841838,0.28433479,0.249881038,0.402281152,0.120845113
4931406B18Rik,-0.112901229,-0.463480488,0.158505454,-0.445469377,0.656789402
4931406C07Rik,0.088190682,-0.209140483,0.029422066,0.047026881,0.164249842
4931412I15Rik,0.042557989,-0.421125635,0.14973036,0.155084969,0.172424071
4931414P19Rik,0.307899316,-0.351776005,-0.081860823,-0.170063129,0.331893358
4932414N04Rik,-0.209043407,-0.399797781,-0.013210308,-0.169636497,0.34007721
4932415D10Rik,-0.219438687,-0.746887745,0.121963035,-0.459788598,0.259734389
4932438H23Rik,-0.147463329,-0.163752631,-0.108317528,-0.228178512,-0.344504848
4932442E05Rik,-0.103125883,-0.038772974,0.058323479,-0.009249109,-0.004383199
4933407L21Rik,0.295687807,-0.649409001,-0.074012905,-0.043865079,-0.073066495
4933416I08Rik,-0.131229931,-0.169778521,-0.125495073,-0.144514753,0.012739829
4933427D14Rik,-0.049424999,-0.114644988,0.196975916,-0.001802416,0.238226781
4933434E20Rik,-0.034746263,0.090807487,-0.141661555,0.012449918,-0.316378059
4933440N22Rik,0.054449346,0.261162899,-0.021977211,0.014746282,-0.010536794
5031439G07Rik,0.032448748,0.039392293,-0.061860025,-0.04700911,-0.169022269
5330406M23Rik,-0.137403402,-0.016251487,0.107931822,0.225320644,0.539301266
5330409N07Rik,0.565663937,0.084170792,0.271197584,0.077121029,0.349624639
5330431K02Rik,-0.423736769,-0.192022508,-0.116213346,0.380855663,0.395138094
5330432J10Rik,-0.370383545,-0.27313637,0.054162116,0.059158094,-0.538291285
5330437M03Rik,-0.755059567,-0.215687823,0.246363518,0.062715604,0.443999688
5430434F05Rik,0.563393951,-0.092348815,-0.115349403,0.360895035,0.367131697
5730408A14Rik,0.415044512,-0.034088371,0.335481204,0.347362617,0.668423623
5730409E04Rik,0.079306831,0.105969968,0.048621936,-0.273334786,-0.087671849
5730455P16Rik,0.184824692,0.106820383,0.116977808,0.032737064,0.084783432
5730480H06Rik,-0.005245894,0.022275824,0.151758273,0.227800976,0.254533313
5730507A11Rik,0.09788093,-0.10177554,0.229165117,0.026599962,0.727350573
5730522E02Rik,-0.061185677,0.040190489,0.153148436,0.274446793,0.40682063
5830462I19Rik,-0.018846316,-0.104147517,-0.156814274,-0.08129356,0.036193626
5930420M18Rik,-0.069612805,0.299884255,0.157877552,0.042118906,0.127996863
6030400A10Rik,0.078722024,0.067777473,0.341722102,0.135137632,0.144685528
6030458C11Rik,-0.00046251,0.065130472,-0.029612546,0.060357158,0.061175532
6330403K07Rik,-0.150819336,-0.486654626,-0.513961949,-0.414222296,-0.47628675
6330415B21Rik,0.036478799,0.10219747,0.222048952,0.43141117,0.440929503
6330419E04Rik,0.386287739,-0.521689068,0.299615499,0.048533459,0.579533405
6430511E19Rik,0.125283263,0.142990315,0.197937251,0.32079478,0.337684192
6430548M08Rik,-0.04043779,0.166602441,0.028950797,-0.086002948,-0.178931722
6430550D23Rik,0.059784916,-0.309234982,0.056326552,-0.138991396,-0.326356913
6720464F23Rik,-0.14017011,-0.253713596,-0.083249255,0.024504276,0.405191587
6820402A03Rik,0.239608404,0.277951401,0.347495971,0.531248765,0.585348743
6820408C15Rik,-0.053204542,-0.036898126,-0.090216437,-0.028558387,0.10216797
7120432I05Rik,0.160466916,0.380116101,0.111650429,0.415081376,0.85588005
8030445P17Rik,0.209905964,-0.384658248,0.121759769,0.265840939,0.716666256
9030624G23Rik,-0.125369193,-0.038382698,0.058468781,0.080648031,-0.219872515
9130002K18Rik,-0.155328306,0.067536682,0.161346771,0.129242236,0.314417564
9130019O22Rik,-0.454398686,0.027307987,-0.296940664,-0.448345634,-0.193297688
9130023H24Rik,-0.069788448,-0.100181618,-0.224216191,0.021089822,0.057724606
9130401M01Rik,-0.065236133,-0.227195107,-0.194241542,-0.256432683,-0.550764295
9330121K16Rik,0.040511238,0.048759076,0.245083286,0.477821763,0.312814835
9330159F19Rik,-0.055439259,-0.027274456,0.119240655,0.168142357,0.140436857
9330162G02Rik,0.128588065,0.242635726,0.478625176,0.446179841,0.702473481
9430015G10Rik,-0.100407931,-0.016362634,-0.078029275,0.035169029,-0.047574663
9430034N14Rik,0.239129622,-0.453587925,0.075468448,-0.190959223,0.412807011
9430038I01Rik,0.140416967,-0.233951195,-0.007329853,-0.181558749,0.228755115
9430053O09Rik,0.297559008,0.33403957,0.484117876,0.184916038,0.612042566
9430062P05Rik,-0.004676991,-0.385738384,0.100494809,-0.159200511,0.144660613
9430081H08Rik,0.32214923,-0.215715876,-0.084734896,-0.062345202,0.020999838
9430087J23Rik,0.24645854,-0.205698662,0.15667912,0.229733363,0.429992625
9430092D12Rik,0.104846764,0.091672492,0.250057747,0.252733916,0.437878691
9530003O04Rik,0.468112214,-0.638557973,0.319638752,0.179679952,0.240204815
9530056E24Rik,0.134780283,-0.238607513,-0.056133552,-0.17069759,0.668454687
9530068E07Rik,0.005169689,0.150829671,0.024213624,-0.033907517,-0.156331321
9530085L11Rik,-0.172319625,0.303545493,0.139191282,0.161407797,0.196414077
9630010A21Rik,0.51918788,0.134306226,0.231830583,0.536389652,0.48402817
9630050E16Rik,0.167084374,-0.006967994,0.332834086,0.354561401,0.706449547
9930017N22Rik,0.123061174,0.117000172,0.379232418,0.180891879,0.595054177
9930021J03Rik,0.110062092,0.010018307,0.260620889,0.16619346,0.293295686
9930024M15Rik,0.337410837,-0.390259887,0.013500568,0.250854423,0.303799652
9930111J21Rik2,0.138842013,-0.113405872,0.234609841,0.044271439,0.39887982
a,-0.249519976,-0.476154083,-0.227207141,-0.451562248,-0.415462836
A130010J15Rik,-0.042412422,-0.020992064,0.12764631,0.039939809,-0.069752618
A130012E19Rik,0.424205341,-0.129627466,0.065944708,0.411682251,0.623000444
A130050O07Rik,-0.102163711,-0.009219296,0.419164213,0.223144692,0.495742954
A130071D04Rik,0.12499165,-0.94680977,0.012501419,-0.505894753,0.530766599
A1cf,0.257991132,0.307837904,0.128826449,0.008259106,0.457134494
A230081H15Rik,0.132945388,-0.15985674,0.357780548,0.3643369,0.730115422
A230085B16Rik,-0.131407529,0.404886891,-0.049624573,0.042167403,0.219689584
A230103L15Rik,0.153817978,0.045806008,0.439333032,0.386573238,0.705616996
A2m,-0.360712683,-0.461078896,-0.527393412,-0.231532362,-0.317701963
A2ml1,0.288758712,-0.270025665,0.113639476,-0.285980115,0.922439979
A330074H02Rik,0.254619826,-0.343882397,-0.10780683,0.156168062,0.403652012
A430005L14Rik,0.119924198,0.067629862,-0.203683571,-0.095700596,-0.329326018
A430019L02Rik,0.008500274,0.014890589,0.199847458,0.126679366,0.560148053
A430027C01Rik,0.170660549,0.242743745,0.175634034,0.469203203,0.990635575
A430028G04Rik,0.238392333,0.005383308,0.128551161,0.282558274,0.505653161
A430033K04Rik,0.038043248,0.071441209,0.177770864,0.163217258,-0.051245721
A430103D13Rik,0.414468375,-0.052251583,0.334470765,0.219539118,0.029608187
A430110C17Rik,-0.02067398,-0.320777963,0.148758944,-0.168361983,0.479418392
A530058O07Rik,-0.177662362,-0.485891586,-0.022407665,-0.026230567,-0.228310518
A530064N14Rik,0.029089905,0.028304448,0.123307176,0.497283309,0.484312706
A530083M17Rik,-0.126918317,-0.23994461,0.381853601,0.338877798,0.468244962
A630036G19Rik,0.196848387,-0.327343654,0.279801226,0.214140441,0.419486009
A630089N07Rik,0.062880536,0.005589319,0.26825361,0.246012989,0.562106081
A730089K16Rik,0.056546932,0.014622727,0.188056336,-0.166437605,0.373125247
A730091E23Rik,-0.028163324,-0.05361522,0.018836512,-0.061205048,0.438060621
A830018L16Rik,0.002147651,0.092307731,0.069736247,0.148254319,0.159100003
A830073O21Rik,-0.168734367,-0.407146508,0.017058588,-0.214881702,-0.348012396
A930004J17Rik,0.263640775,-0.0823934,0.219627358,0.412621851,0.32501805
