wPGSA_IDs,Gene_Symbol_Mus,Same
AFF4,Aff4,1
AHR,Ahr,1
AICDA,Aicda,1
ASCL1,Ascl1,1
ASCL2,Ascl2,1
ASH2L,Ash2l,1
ASXL1,Asxl1,1
ATF2,Atf2,1
ATF3,Atf3,1
ATF4,Atf4,1
ATF7,Atf7,1
ATOH1,Atoh1,1
ATRX,Atrx,1
BACH2,Bach2,1
BATF,Batf,1
BCL6,Bcl6,1
BMAL1,Bmal1,1
BMI1,Bmi1,1
BRCA1,Brca1,1
BRD4,Brd4,1
BRDT,Brdt,1
CBX1,Cbx1,1
CBX3,Cbx3,1
CBX5,Cbx5,1
CBX7,Cbx7,1
CBX8,Cbx8,1
CCND1,Ccnd1,1
CDK8,Cdk8,1
CDK9,Cdk9,1
CDX2,Cdx2,1
CEBPA,Cebpa,1
CEBPB,Cebpb,1
CEBPD,Cebpd,1
CHD1,Chd1,1
CHD2,Chd2,1
CHD7,Chd3,1
CHD4,Chd4,1
CLOCK,Clock,1
CNOT3,Cnot3,1
CREB1,Creb1,1
CREM,Crem,1
CRX,Crx,1
CRY1,Cry1,1
CRY2,Cry2,1
CTCF,Ctcf,1
CTCFL,Ctcfl,1
CTR9,Ctr9,1
MED1,Cwc15,1
CXXC1,Cxxc1,1
VDR,Cyp27b1,1
DMC1,Dbmc1,1
DDIT3,Ddit3,1
DMAP1,Dmap1,1
DMRT1,Dmrt1,1
DPY30,Dpy30,1
E2F1,E2f1,1
E2F2,E2f2,1
E2F3,E2f3,1
E2F4,E2f4,1
E4F1,E4f1,1
EED,Eed,1
ELF1,Efna2,1
EGR1,Egr1,1
EGR2,Egr2,1
EHF,Ehf,1
EHMT2,Ehmt2,1
ELF5,Elf5,1
ELL,Ell,1
ELL2,Ell2,1
ELL3,Ell3,1
EOMES,Eomes,1
EP300,Ep300,1
EP400,Ep400,1
RB,Epha4,1
ERG,Erg,1
ESR1,Esr1,1
ERR1,Esrra,1
ERR2,Esrrb,1
ETS1,Ets1,1
ETS2,Ets2,1
ETV2,Etv2,1
ETV6,Etv6,1
EZH1,Ezh1,1
EZH2,Ezh2,1
FEZF2,Fezf2,1
FIZ1,Fiz1,1
FLI1,Fli1,1
FOS,Fos,1
FOSB,Fosb,1
FOSL1,Fosl1,1
FOSL2,Fosl2,1
FOXA1,Foxa1,1
FOXA2,Foxa2,1
FOXK1,Foxk1,1
FOXL2,Foxl2,1
FOXO1,Foxo1,1
FOXO3,Foxo3,1
FOXP3,Foxp3,1
GABPA,Gabpa,1
GATA1,Gata1,1
GATA2,Gata2,1
GATA3,Gata3,1
GATA4,Gata4,1
GATA6,Gata6,1
GFI1,Gfi1,1
GFI1B,Gfi1b,1
GLI1,Gli1,1
GLI3,Gli3,1
GM6871,Gm6871,1
CSN1,Gps1,1
GRHL2,Grhl2,1
GRHL3,Grhl3,1
HAND1,Hand1,1
HAND2,Hand2,1
HCFC1,Hcfc1,1
HDAC1,Hdac1,1
HDAC2,Hdac2,1
HDAC3,Hdac3,1
HDAC6,Hdac6,1
HELLS,Hells,1
HIF1A,Hif1a,1
HIRA,Hira,1
HNF4A,Hnf4a,1
RING2,Hsd17b8,1
HSF1,Hsf1,1
HSF2,Hsf2,1
IKZF1,Ikzf1,1
IKZF3,Ikzf3,1
ING1,Ing1,1
INO80,Ino80,1
INSM1,Insm1,1
IRF1,Irf1,1
IRF2,Irf2,1
IRF3,Irf3,1
IRF4,Irf4,1
IRF8,Irf8,1
ISL1,Isl1,1
JUN,Jun,1
JUNB,Junb,1
JUND,Jund,1
KAT2A,Kat2a,1
KAT5,Kat5,1
KAT8,Kat8,1
KDM1A,Kdm1a,1
KDM2B,Kdm2b,1
KDM2A,Kdm3a,1
KDM4A,Kdm4a,1
KDM4B,Kdm4b,1
KDM4C,Kdm4c,1
KDM5A,Kdm5a,1
RBP2,Kdm5a,1
KDM5B,Kdm5b,1
KDM5C,Kdm5c,1
KDM6A,Kdm6a,1
KDM6B,Kdm6b,1
KLF1,Klf1,1
KLF2,Klf2,1
KLF3,Klf3,1
KLF4,Klf4,1
KLF5,Klf5,1
KMT2A,Kmt2a,1
KMT2C,Kmt2c,1
KMT2B,Kmt2d,1
KMT2D,Kmt2d,1
KMT2E,Kmt2e,1
LDB1,Ldb1,1
GRIP1,Lgals12,1
LHX2,Lhx2,1
LHX3,Lhx3,1
RBTN2,Lmo2,1
LUZP1,Luzp1,1
THB,Ly6d,1
LYL1,Lyl1,1
MAF,Maf,1
MAFF,Maff,1
MAFK,Mafk,1
BAP1,Magi1,1
MAX,Max,1
MAZ,Maz,1
MBD1,Mbd1,1
MBD2,Mbd2,1
MBD3,Mbd3,1
MBD4,Mbd4,1
MCRS1,Mcrs1,1
MECP2,Mecp2,1
MED12,Med12,1
MEF2A,Mef2a,1
MEF2D,Mef2d,1
MEIS1,Meis1,1
MEN1,Men1,1
MKL1,Mrtfa,1
MKL2,Mrtfb,1
MSGN1,Msgn1,1
MSL1,Msl1,1
MSL2,Msl2,1
MSX1,Msx1,1
MTF2,Mtf2,1
MTOR,Mtor,1
MXI1,Mxi1,1
MYB,Myb,1
MYCN,Mycn,1
MYF5,Myf5,1
MYOD1,Myod1,1
MYOG,Myog,1
MYT1L,Myt1l,1
NACC1,Nacc1,1
NANOG,Nanog,1
NBN,Nbn,1
NCOA1,Ncoa1,1
NCOA2,Ncoa2,1
NCOA3,Ncoa3,1
NCOR1,Ncor1,1
NCOR2,Ncor2,1
NELFA,Nelfa,1
NELFB,Nelfb,1
NELFE,Nelfe,1
NFE2,Nfe2,1
NRF1,Nfe2l1,1
NFIB,Nfib,1
NFIC,Nfic,1
NFIL3,Nfil3,1
NFKB1,Nfkb1,1
NFYA,Nfya,1
NFYB,Nfyb,1
NFYC,Nfyc,1
NIPBL,Nipbl,1
MYC,Nol3,1
NPAS2,Npas2,1
NPAS4,Npas4,1
NR0B1,Nr0b1,1
NR1D1,Nr1d1,1
NR1D2,Nr1d2,1
NR1H2,Nr1h2,1
NR5A2,Nr5a2,1
NR6A1,Nr6a1,1
NUCKS,Nucks1,1
OLIG2,Olig2,1
OTX2,Otx2,1
OVOL2,Ovol2,1
CBP,Pag1,1
PAX3,Pax3,1
PAX5,Pax5,1
PAX6,Pax6,1
PAX7,Pax7,1
PBX1,Pbx1,1
PER1,Per1,1
PER2,Per2,1
PHC1,Phc1,1
PHF19,Phf19,1
PITX1,Pitx1,1
PITX2,Pitx2,1
STAG1,Pmepa1,1
PIT1,Pou1f1,1
PPARA,Ppara,1
PPARG,Pparg,1
PRDM1,Prdm1,1
PRDM4,Prdm4,1
PRDM5,Prdm5,1
PRDM9,Prdm9,1
PSIP1,Psip1,1
PTF1A,Ptf1a,1
PWP1,Pwp1,1
RAD21,Rad21,1
RARA,Rara,1
RARB,Rarb,1
RARG,Rarg,1
RBBP5,Rbbp5,1
RBPJL,Rbpjl,1
RCOR1,Rcor2,1
RCOR2,Rcor2,1
RCOR3,Rcor3,1
REL,Rel,1
RELB,Relb,1
REST,Rest,1
RFX1,Rfx1,1
RFX6,Rfx6,1
RING1,Ring1,1
RORA,Rora,1
RUNX1,Runx1,1
RUNX2,Runx2,1
RUNX3,Runx3,1
RXRA,Rxra,1
RYBP,Rybp,1
SALL4,Sall4,1
SCML2,Scml2,1
SIN3A,Sin3a,1
SIN3B,Sin3b,1
SIX1,Six1,1
SIX2,Six2,1
SMAD1,Smad1,1
SMAD2,Smad2,1
SMAD3,Smad3,1
SMAD4,Smad4,1
SMC1A,Smc1a,1
SMC3,Smc3,1
SMC5,Smc5,1
SNAI1,Snai1,1
SOX11,Sox11,1
SOX17,Sox17,1
SOX2,Sox2,1
SOX3,Sox3,1
SOX4,Sox4,1
SOX6,Sox6,1
SOX9,Sox9,1
SPI1,Spi1,1
SPIB,Spib,1
SRF,Srf,1
SRSF1,Srsf1,1
SRSF2,Srsf2,1
STAG2,Stag2,1
STAT1,Stat1,1
STAT2,Stat2,1
STAT3,Stat3,1
STAT4,Stat4,1
STAT6,Stat6,1
SUZ12,Suz12,1
TAF1,Taf1,1
TAF3,Taf3,1
TAF7L,Taf7l,1
TAF9B,Taf9b,1
TAL1,Tal1,1
TBP,Tbp,1
TBX19,Tbx19,1
TBX20,Tbx20,1
TBX21,Tbx21,1
TBX3,Tbx3,1
TBX5,Tbx5,1
HTF4,Tcf12,1
TCF7,Tcf7,1
TDG,Tdg,1
TEAD1,Tead1,1
TEAD2,Tead2,1
TEAD4,Tead4,1
TET1,Tet1,1
TFAP4,Tfap4,1
TFE3,Tfe3,1
MITF,Tff3,1
TGIF1,Tgif1,1
TLE1,Tle1,1
TLE2,Tle2,1
TLE3,Tle3,1
TLE4,Tle4,1
TOP2A,Top2a,1
TOP2B,Top2b,1
TIF1B,Trim28,1
P53,Trp53,1
ARX,Uba2,1
UBF1,Ubtf,1
USF1,Usf1,1
USF2,Usf2,1
UTF1,Utf1,1
WDR5,Wdr5,1
WT1,Wt1,1
RAD51,Xrcc2,1
YAP1,Yap1,1
ZFP384,Zfp384,1
ZFP42,Zfp42,1
ZFP57,Zfp57,1
ZFX,Zfx,1
ZIC2,Zic2,1
ZIC3,Zic3,1
ZMIZ1,Zmiz1,1
ANDR,Ar,0
AP2A,Serpinf2 ,0
AP2C,Tfap2c ,0
ARI3A,Arid3a ,0
BRAC,Tbxt,0
CNDD3,Ncapd3,0
CNDG2,Ncapg2 ,0
CNDH2,Ncaph2,0
COE1,Ebf1,0
COT2,Nr2f2,0
CTNB1,Ctnnb1 ,0
DMRTB,Dmrtb1,0
DNJC2,Dnajc2 ,0
DNM3A,Dnmt3a,0
DNM3B,Dnmt3b,0
DNM3L,Dnmt3l ,0
GCR,Nr3c1,0
H2B1A,H2ac4,0
HEXI1,Hexim1 ,0
HXA2,Hoxa2 ,0
HXA9,Hoxa9 ,0
HXB4,Hoxb4,0
HXC9,Hoxc9 ,0
JARD2,Hoxc9 ,0
KANL3,Kansl3,0
MYBA,Mybl1,0
NDF1,Neurod1,0
NDF2,Neurod2,0
NFAC1,Nfatc1,0
NFAC2,Nfatc2,0
NKX21,Nkx2-1,0
NKX25,Nkx2-5,0
NKX31,Nkx3-1,0
NKX32,Nkx3-2,0
NKX61,Nkx6-1,0
NOTC1,Notch1,0
OGT1,Ogt,0
PAXI1,Paxip1,0
PEBB,Cbfb,0
PHX2A,Phox2a,0
PKNX1,Pknox1,0
PKNX2,Pknox2,0
PO2F2,Pou2f2,0
PO3F1,Pou3f1,0
